Region,Country Code,Country,Population,Public Flows (2021 USD M),Public Flows per Capita (USD),Renewable Energy Share of Electricity Production (%),SDG 7b1 RE capacity per capita (W/inhabitant),Total Non-Renewable,Total Renewable,EPI.old,EPI.new,CDA.old,CDA.new
Africa,MLI,Mali,16318550.130434783,45.95516108578261,2.625979057792477,0.59006478004131,19.344280883173912,840.2500602586956,1285.8108260869565,37.8,34.5,20.9,4.6
Africa,MOZ,Mozambique,24423080.173913043,115.90814656873914,4.076967898465749,0.9515985535071799,93.69848807965218,875.1185652173913,14582.63856521739,33.8,39.0,19.0,36.8
Africa,MRT,Mauritania,3597384.2608695654,45.182147124967834,12.062589544503009,0.06469760527373046,8.462623278478262,766.66,82.15,38.1,34.6,25.5,17.9
Africa,MUS,Mauritius,1244015.2608695652,9.03784424352174,7.168548518176013,0.23147535645020906,134.91490335447824,2040.1284782608695,599.8919999999999,44.4,47.3,39.8,50.1
Africa,MWI,Malawi,15376146.260869564,16.73873044278261,0.9493892336925489,0.9225383577823668,24.772334073565215,147.87656737391305,1617.277,41.8,35.1,38.1,15.3
Africa,NAM,Namibia,2162697.913043478,9.883868873043479,4.494855450804449,0.942264494749217,150.05173033334785,88.26317391304349,1418.7845217391305,44.1,44.0,34.4,41.1
Africa,NER,Niger (the),17891412.695652176,44.143219816304345,1.979744830908368,0.03568891018571318,0.4250901841739131,375.82195652173914,11.125826086956522,32.7,40.0,0.0,33.2
Africa,NGA,Nigeria,167359802.6956522,134.22708280295655,0.7505164092160435,0.29051692508112564,13.011415368043478,19778.53439130435,7690.893608695653,33.2,37.9,38.6,44.9
Africa,RWA,Rwanda,10672322.869565217,38.629799253608695,3.2293382023612276,0.638670980002182,6.728132410652174,205.2592494347826,259.19569565217387,34.2,33.9,32.2,18.0
Africa,SDN,Sudan (the),35246064.86956522,169.56285503447825,5.4841524857399095,0.5558613752078303,30.40331035621739,3675.871130434783,5707.585391304348,35.2,39.1,30.4,40.3
Africa,SEN,Senegal,13108684.652173912,96.49064300317391,6.675114920911421,0.03993877232902204,5.9516734352173915,2386.047265695652,152.2017391304348,39.0,43.8,26.9,33.9
Africa,SLE,Sierra Leone,6645495.260869565,23.373602436826083,3.1579955287797854,0.5634424815449856,6.897821135391304,52.430565217391305,121.62930434782609,34.6,39.9,20.1,50.3
Africa,SOM,Somalia,12651444.43478261,8.56458209256522,0.5096184958050113,0.02082249323589566,0.38832761943478256,320.3478260869565,7.943478260869565,45.83132334315702,48.11467175911838,40.65221406188291,45.1285467449042
Africa,SSD,South Sudan,9333706.130434783,0.26094473839130433,0.024360769125721025,0.002496186962210364,0.07720072334782609,248.95652173913044,0.6547391304347826,45.831323343157024,48.11467175911838,40.65221406188291,45.12854674490419
Africa,STP,Sao Tome and Principe,185168.5652173913,1.7825186066521739,8.465677450565883,0.46517034360383985,11.091204344652175,44.30478260869565,25.34921739130435,34.4,36.2,31.8,44.0
Africa,SWZ,Eswatini,1111263.1739130435,1.1672225696086955,1.0410952796408928,0.982694028367449,128.11797063152176,6.519,380.11104347826085,41.1,38.7,40.8,42.6
Africa,SYC,Seychelles,90469.69565217392,0.08042806691304348,0.8457474470415853,0.013829047338105343,47.906397265652174,319.65278260869565,5.917782608695653,51.8,47.9,44.4,30.9
Africa,TCD,Chad,12570137.304347826,17.124684325782606,1.237983483193334,0.06110880968535238,0.19707350356521738,185.3913043478261,11.168521739130433,33.9,35.9,15.8,45.8
Africa,TGO,Togo,6805683.956521739,17.981416556521737,2.6215196553993394,0.4706372380414382,10.768051140478262,251.14504347826087,154.48234782608696,36.8,35.7,35.8,28.4
